npc_id,target_id,target_type,trait_type,value,last_modified
"capo","null","self","null","50","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"capo","null","self","null","50","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"capo","null","player","null","50","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"capo","null","player","null","50","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"consigliere","null","self","null","50","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"consigliere","null","player","null","50","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"consigliere","null","player","null","50","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"consigliere","null","player","null","50","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"consigliere","null","self","null","50","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"consigliere","null","player","null","50","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"soldier","null","self","null","50","Thu Apr 30 2026 00:19:55 GMT-0700 (Pacific Daylight Time)"
"soldier","null","player","null","50","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"soldier","null","player","null","50","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"soldier","null","self","null","50","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"soldier","null","self","null","50","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"soldier","null","self","null","50","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"soldier","null","player","null","50","Thu Apr 30 2026 00:19:55 GMT-0700 (Pacific Daylight Time)"
"soldier","null","player","null","50","Thu Apr 30 2026 00:19:55 GMT-0700 (Pacific Daylight Time)"
"soldier","null","self","null","50","Thu Apr 30 2026 00:19:55 GMT-0700 (Pacific Daylight Time)"
"soldier","null","self","null","50","Thu Apr 30 2026 00:19:55 GMT-0700 (Pacific Daylight Time)"
