npc_id,target_type,target_id,trait_id,intensity,source_type,source_id,last_modified
"capo","player","","trait_respectful","moderate","seed","initial","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"capo","player","","trait_loyal","major","seed","initial","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"capo","self","","trait_short_tempered","major","seed","initial","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"capo","self","","trait_violent","major","seed","initial","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"consigliere","player","","trait_trusting","moderate","seed","initial","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"consigliere","player","","trait_loyal","major","seed","initial","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"consigliere","player","","trait_protective","major","seed","initial","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"consigliere","player","","trait_respectful","major","seed","initial","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"consigliere","self","","trait_trusted_with_secrets","major","seed","initial","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"consigliere","self","","trait_calculating","major","seed","initial","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"soldier","player","","trait_respectful","moderate","seed","initial","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"soldier","player","","trait_respectful","moderate","seed","initial","Thu Apr 30 2026 00:19:55 GMT-0700 (Pacific Daylight Time)"
"soldier","player","","trait_wants_approval","major","seed","initial","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"soldier","player","","trait_wants_approval","major","seed","initial","Thu Apr 30 2026 00:19:55 GMT-0700 (Pacific Daylight Time)"
"soldier","self","","trait_inexperienced","moderate","seed","initial","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"soldier","self","","trait_inexperienced","moderate","seed","initial","Thu Apr 30 2026 00:19:55 GMT-0700 (Pacific Daylight Time)"
"soldier","self","","trait_fearful","moderate","seed","initial","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
"soldier","self","","trait_fearful","moderate","seed","initial","Thu Apr 30 2026 00:19:55 GMT-0700 (Pacific Daylight Time)"
"soldier","self","","trait_ambitious","major","seed","initial","Thu Apr 30 2026 00:19:55 GMT-0700 (Pacific Daylight Time)"
"soldier","self","","trait_ambitious","major","seed","initial","Thu Apr 30 2026 00:19:37 GMT-0700 (Pacific Daylight Time)"
